abreviacao,pais,populacao,rank_populacao,qtd_planos_internet,1GB_preco_medio,1GB_mais_barato,1GB_mais_caro,usuarios_internet,PIB_per_capita,populacao_urbana_%,usuarios_internet_%,rank_usuarios,regiao,grupo_renda
CHN,China,1425873641,1,36.0,0.52,0.3,1.21,1010740000,2425.471293,43.1,54.3,116.0,East Asia & Pacific,Upper middle income
IND,India,1418914739,2,58.0,0.68,0.05,2.73,833710000,786.7000981,29.54,34.45,145.0,South Asia,Lower middle income
USA,United States,338573477,3,45.0,3.33,1.0,30.0,312320000,37491.17952,81.7,75.23,68.0,North America,High income
IDN,Indonesia,275818905,4,53.0,0.42,0.17,2.94,196000000,1143.831514,51.46,32.29,150.0,East Asia & Pacific,Lower middle income
PAK,Pakistan,236650690,5,60.0,0.59,0.06,8.59,118800000,668.547943,36.16,30.68,184.0,South Asia,Lower middle income
NGA,Nigeria,219478772,6,60.0,0.88,0.03,5.25,136203231,544.5994767,48.36,27.51,161.0,Sub-Saharan Africa,Lower middle income
BRA,Brazil,215488926,7,58.0,0.92,0.18,2.72,160010801,4699.411262,85.58,67.47,83.0,Latin America & Caribbean,Upper middle income
BGD,Bangladesh,171505314,8,60.0,0.34,0.11,2.22,129180000,558.0628766,27.14,18.02,180.0,South Asia,Lower middle income
MEX,Mexico,127676342,10,45.0,3.62,1.2,12.06,92010000,6105.280743,77.2,63.85,92.0,Latin America & Caribbean,Upper middle income
JPN,Japan,123834522,11,35.0,3.38,0.88,45.53,117400000,39309.47886,66.48,90.87,23.0,East Asia & Pacific,High income
ETH,Ethiopia,123938711,12,3.0,1.71,1.41,4.17,19543075,220.8912479,17.0,18.62,179.0,Sub-Saharan Africa,Low income
PHL,Philippines,115879327,13,30.0,1.77,0.95,8.21,73003313,1383.401869,64.92,60.05,103.0,East Asia & Pacific,Lower middle income
VNM,Vietnam,98310514,16,46.0,0.49,0.07,5.55,68172134,722.8075588,27.84,49.57,122.0,East Asia & Pacific,Lower middle income
TUR,Turkey,85430757,18,60.0,0.63,0.05,2.26,69945905,5348.597192,68.68,64.68,89.0,Europe & Central Asia,Upper middle income
DEU,Germany,83349397,19,60.0,3.38,0.35,11.83,77794405,25306.18719,73.64,84.4,36.0,Europe & Central Asia,High income
THA,Thailand,71717410,20,60.0,1.06,0.34,10.32,54043108,2712.517199,33.32,52.89,117.0,East Asia & Pacific,Upper middle income
GBR,United Kingdom,67550090,21,60.0,1.42,0.11,71.29,65001016,28033.48928,89.94,94.62,18.0,Europe & Central Asia,High income
TZA,Tanzania,65841526,22,60.0,0.75,0.28,4.31,30000000,456.3857117,25.52,16.0,182.0,Sub-Saharan Africa,Low income
FRA,France,64650285,23,45.0,0.41,0.09,118.2,59470000,22878.46657,77.36,80.5,50.0,Europe & Central Asia,High income
ZAF,South Africa,59982549,24,60.0,2.67,0.12,34.95,31858027,3745.649852,60.74,56.17,111.0,Sub-Saharan Africa,Upper middle income
ITA,Italy,59008050,25,29.0,0.27,0.09,3.54,50540000,18982.26929,68.08,61.3,98.0,Europe & Central Asia,High income
MMR,Myanmar,54251653,26,35.0,0.78,0.0,14.15,16374103,,32.58,30.68,154.0,East Asia & Pacific,Lower middle income
KEN,Kenya,54216808,27,50.0,2.25,0.26,10.93,8861485,468.6960436,21.6,17.83,181.0,Sub-Saharan Africa,Lower middle income
COL,Colombia,51904562,28,60.0,2.8,0.42,9.88,30548252,3233.42378,74.5,62.26,96.0,Latin America & Caribbean,Upper middle income
ESP,Spain,47552405,30,44.0,1.24,0.57,57.98,42400756,15461.75837,77.12,84.6,33.0,Europe & Central Asia,High income
UGA,Uganda,47488382,31,60.0,1.56,0.45,22.71,10162807,377.4211133,12.98,23.71,168.0,Sub-Saharan Africa,Low income
