iso_code,country,2022_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,425,873,641","1,424,929,781","9,706,961 sq_km",147/sq_km,-0.00%,17.88%,1
IND,India,"1,418,914,739","1,396,387,127","3,287,590 sq_km",431/sq_km,0.68%,17.77%,2
USA,United States,"338,573,477","335,942,003","9,372,610 sq_km",36/sq_km,0.38%,4.24%,3
IDN,Indonesia,"275,818,905","271,857,970","1,904,569 sq_km",145/sq_km,0.64%,3.45%,4
PAK,Pakistan,"236,650,690","227,196,741","881,912 sq_km",267/sq_km,1.91%,2.96%,5
NGA,Nigeria,"219,478,772","208,327,405","923,768 sq_km",237/sq_km,2.41%,2.74%,6
BRA,Brazil,"215,488,926","213,196,304","8,515,767 sq_km",25/sq_km,0.46%,2.70%,7
BGD,Bangladesh,"171,505,314","167,420,951","147,570 sq_km","1,160/sq_km",1.08%,2.15%,8
RUS,Russia,"144,706,433","145,617,329","17,098,242 sq_km",8/sq_km,-0.27%,1.81%,9
MEX,Mexico,"127,676,342","125,998,302","1,964,375 sq_km",65/sq_km,0.63%,1.60%,10
JPN,Japan,"123,834,522","125,244,761","377,930 sq_km",328/sq_km,-0.53%,1.55%,11
ETH,Ethiopia,"123,938,711","117,190,911","1,104,300 sq_km",112/sq_km,2.57%,1.55%,12
PHL,Philippines,"115,879,327","112,190,977","342,353 sq_km",338/sq_km,1.47%,1.45%,13
EGY,Egypt,"111,297,774","107,465,134","1,002,450 sq_km",111/sq_km,1.58%,1.39%,14
VNM,Vietnam,"98,310,514","96,648,685","331,212 sq_km",296/sq_km,0.74%,1.23%,16
IRN,Iran,"88,656,010","87,290,193","1,648,195 sq_km",54/sq_km,0.71%,1.11%,17
TUR,Turkey,"85,430,757","84,135,428","783,562 sq_km",109/sq_km,0.67%,1.07%,18
DEU,Germany,"83,349,397","83,328,988","357,114 sq_km",233/sq_km,-0.05%,1.05%,19
THA,Thailand,"71,717,410","71,475,664","513,120 sq_km",140/sq_km,0.13%,0.90%,20
GBR,United Kingdom,"67,550,090","67,059,474","242,900 sq_km",278/sq_km,0.34%,0.85%,21
TZA,Tanzania,"65,841,526","61,704,518","945,087 sq_km",69/sq_km,3.00%,0.82%,22
FRA,France,"64,650,285","64,480,053","551,695 sq_km",117/sq_km,0.15%,0.81%,23
ZAF,South Africa,"59,982,549","58,801,927","1,221,037 sq_km",49/sq_km,0.84%,0.75%,24
ITA,Italy,"59,008,050","59,500,579","301,336 sq_km",196/sq_km,-0.34%,0.74%,25
MMR,Myanmar,"54,251,653","53,423,198","676,578 sq_km",80/sq_km,0.71%,0.68%,26
KEN,Kenya,"54,216,808","51,985,780","580,367 sq_km",93/sq_km,1.93%,0.68%,27
COL,Colombia,"51,904,562","50,930,662","1,141,748 sq_km",45/sq_km,0.69%,0.65%,28
KOR,South Korea,"51,811,026","51,844,690","100,210 sq_km",517/sq_km,-0.03%,0.65%,29
ESP,Spain,"47,552,405","47,363,807","505,992 sq_km",94/sq_km,0.15%,0.60%,30
UGA,Uganda,"47,488,382","44,404,611","241,550 sq_km",196/sq_km,3.04%,0.59%,31
SDN,Sudan,"47,094,062","44,440,486","1,886,068 sq_km",25/sq_km,2.67%,0.59%,32
ARG,Argentina,"45,553,569","45,036,032","2,780,400 sq_km",16/sq_km,0.52%,0.57%,33
DZA,Algeria,"45,032,322","43,451,666","2,381,741 sq_km",19/sq_km,1.64%,0.56%,34
IRQ,Iraq,"44,675,547","42,556,984","438,317 sq_km",102/sq_km,2.21%,0.56%,35
AFG,Afghanistan,"41,325,562","38,972,230","652,230 sq_km",63/sq_km,2.57%,0.52%,36
POL,Poland,"40,438,672","38,428,366","312,679 sq_km",127/sq_km,4.04%,0.50%,37
UKR,Ukraine,"38,398,317","43,909,666","603,500 sq_km",66/sq_km,-8.80%,0.50%,38
CAN,Canada,"38,513,043","37,888,705","9,984,670 sq_km",4/sq_km,0.78%,0.48%,39
MAR,Morocco,"37,527,369","36,688,772","446,550 sq_km",84/sq_km,1.03%,0.47%,40
SAU,Saudi Arabia,"36,506,528","35,997,107","2,149,690 sq_km",17/sq_km,1.28%,0.46%,41
AGO,Angola,"35,782,567","33,428,486","1,246,700 sq_km",29/sq_km,3.15%,0.45%,42
